AIML,Appdev,Books,Competitive programming,Gaming,Gen-z homour,Music,Normal humour,Webdev,cluster,name
0,1,1,0,0,1,1,1,1,0,0!com
0,1,0,0,0,0,0,1,0,0,1!com
1,1,1,0,1,0,0,0,0,0,10!com
1,1,0,1,0,0,1,0,0,0,100!com
0,0,0,1,1,1,0,0,0,0,11!com
0,0,1,1,0,1,0,0,1,0,12!com
1,1,0,1,1,1,1,0,0,0,13!com
0,0,0,0,1,0,1,1,0,0,14!com
1,0,0,1,1,0,0,1,0,0,15!com
1,1,0,0,1,0,1,1,1,0,16!com
0,1,0,0,1,1,0,1,0,0,17!com
0,0,1,1,0,1,1,1,1,0,18!com
0,0,1,0,0,1,1,0,1,0,19!com
1,1,1,0,1,1,0,1,0,0,2!com
1,1,0,0,0,1,1,0,0,0,20!com
1,0,1,0,1,1,1,0,1,0,21!com
1,1,1,1,1,0,1,1,1,0,22!com
1,1,1,1,1,0,1,0,0,0,23!com
1,0,1,0,0,0,0,0,1,0,24!com
1,1,1,0,1,1,1,0,0,0,25!com
1,0,0,1,1,1,1,0,1,0,26!com
0,0,0,0,0,0,0,0,0,0,27!com
0,0,0,0,1,0,1,0,1,0,28!com
0,0,1,0,0,0,1,0,0,0,29!com
0,0,1,1,1,1,1,1,1,0,3!com
0,0,1,1,0,1,0,0,1,0,30!com
1,0,0,0,1,1,1,0,1,0,31!com
0,1,1,1,0,0,0,0,0,0,32!com
0,0,1,0,0,0,0,0,0,0,33!com
1,0,1,0,0,0,0,1,0,0,34!com
0,0,1,1,0,0,0,1,0,0,35!com
0,1,0,1,1,1,0,0,1,0,36!com
0,1,1,1,0,1,0,1,1,0,37!com
0,0,1,1,1,0,0,0,1,0,38!com
0,0,1,1,1,1,1,1,1,0,39!com
1,1,0,1,1,1,1,0,0,0,4!com
0,0,1,0,0,1,1,1,0,0,40!com
1,1,1,0,0,1,0,0,0,0,41!com
1,1,1,0,1,1,1,0,1,0,42!com
1,1,1,1,1,0,0,0,0,0,43!com
0,0,1,0,0,0,1,0,1,0,44!com
1,1,0,0,0,1,0,1,1,0,45!com
0,0,1,0,1,0,0,0,1,0,46!com
0,0,0,0,0,1,0,0,0,0,47!com
0,1,1,1,1,0,0,1,0,0,48!com
1,1,1,1,1,0,1,1,1,0,49!com
1,0,1,1,1,0,0,1,1,0,5!com
0,0,0,0,0,0,1,1,1,0,50!com
0,0,0,1,1,1,0,0,1,0,51!com
0,0,0,1,1,0,0,1,1,0,52!com
1,0,0,0,0,0,1,1,1,0,53!com
1,0,1,0,1,0,0,0,1,0,54!com
1,1,0,1,0,1,0,0,1,0,55!com
0,0,1,1,0,0,0,1,0,0,56!com
0,0,0,1,1,0,1,1,1,0,57!com
0,1,1,1,1,1,0,1,0,0,58!com
1,0,1,1,0,1,1,0,0,0,59!com
1,0,1,1,0,0,1,0,1,0,6!com
0,0,1,1,0,0,1,0,1,0,60!com
0,0,1,1,1,1,0,0,0,0,61!com
0,0,1,1,0,1,0,1,1,0,62!com
1,0,0,1,1,0,0,1,0,0,63!com
1,0,0,0,0,0,1,1,1,0,64!com
1,0,1,0,0,1,1,1,1,0,65!com
0,1,1,1,0,1,1,0,1,0,66!com
1,1,0,0,1,1,1,0,0,0,67!com
1,0,1,0,0,0,1,0,1,0,68!com
0,1,0,0,1,0,1,0,0,0,69!com
0,0,0,1,0,0,1,0,1,0,7!com
0,1,1,0,1,0,0,1,1,0,70!com
1,0,1,0,1,1,0,0,0,0,71!com
0,0,1,0,0,0,0,1,0,0,72!com
0,1,0,1,0,0,0,1,1,0,73!com
0,1,1,0,0,1,0,1,0,0,74!com
0,1,0,1,0,0,0,0,1,0,75!com
0,1,1,1,0,1,0,1,1,0,76!com
1,1,1,0,1,0,0,0,1,0,77!com
1,0,1,1,0,0,0,0,0,0,78!com
0,0,0,1,0,1,1,1,1,0,79!com
0,1,1,0,0,0,1,1,1,0,8!com
1,1,0,1,1,0,0,0,0,0,80!com
1,1,1,0,1,1,0,0,1,0,81!com
0,1,0,1,0,1,0,0,0,0,82!com
0,1,1,0,1,1,1,1,1,0,83!com
1,0,1,0,0,1,0,0,0,0,84!com
0,0,0,1,0,0,1,0,1,0,85!com
0,1,0,0,0,1,1,1,1,0,86!com
1,0,0,1,1,1,0,0,1,0,87!com
1,1,1,1,1,1,0,1,1,0,88!com
1,0,0,0,1,0,0,0,1,0,89!com
1,0,1,1,0,0,0,0,1,0,9!com
1,0,0,1,0,1,1,1,1,0,90!com
0,0,0,0,0,1,0,0,1,0,91!com
1,0,1,1,0,1,0,0,0,0,92!com
0,0,1,0,0,0,1,0,1,0,93!com
1,0,0,1,1,1,1,0,1,0,94!com
1,1,0,0,1,0,1,1,1,0,95!com
0,1,1,1,1,0,1,0,0,0,96!com
0,1,0,1,1,1,0,1,1,0,97!com
0,1,1,0,0,0,0,1,1,0,98!com
0,1,1,1,0,0,1,1,1,0,99!com
